plant_id,line_id,machine_id,sensor_id,sensor_type,reading_time,temperature_c,vibration_rms_g,pressure_bar,current_amp,label
1,1,1,1,snapshot,2025-01-01T00:00:00,32.517,11.742,70.518,25.012,NORMAL
1,1,1,1,snapshot,2025-01-01T00:02:00,32.388,0.89,68.35,25.612,NORMAL
1,1,1,1,snapshot,2025-01-01T00:04:00,32.892,0.66,72.404,25.152,NORMAL
1,1,1,1,snapshot,2025-01-01T00:06:00,78.464,0.905,73.513,106.636,NORMAL
1,1,1,1,snapshot,2025-01-01T00:08:00,32.935,0.893,73.405,24.628,NORMAL
1,1,1,1,snapshot,2025-01-01T00:10:00,33.507,0.993,69.791,24.849,NORMAL
1,1,1,1,snapshot,2025-01-01T00:12:00,30.785,0.725,69.354,26.421,NORMAL
1,1,1,1,snapshot,2025-01-01T00:14:00,35.183,0.812,64.947,26.528,NORMAL
1,1,1,1,snapshot,2025-01-01T00:16:00,35.513,1.157,64.541,25.256,NORMAL
1,1,1,1,snapshot,2025-01-01T00:18:00,35.498,1.302,70.879,27.429,NORMAL
1,1,1,1,snapshot,2025-01-01T00:20:00,33.695,1.168,71.474,24.673,NORMAL
1,1,1,1,snapshot,2025-01-01T00:22:00,33.744,1.387,66.833,26.083,NORMAL
1,1,1,1,snapshot,2025-01-01T00:24:00,36.01,1.19,67.51,26.381,NORMAL
1,1,1,1,snapshot,2025-01-01T00:26:00,35.304,1.949,66.865,29.603,NORMAL
1,1,1,1,snapshot,2025-01-01T00:28:00,34.341,1.136,64.24,26.873,NORMAL
1,1,1,1,snapshot,2025-01-01T00:30:00,32.619,0.923,71.112,25.716,NORMAL
1,1,1,1,snapshot,2025-01-01T00:32:00,34.216,1.356,70.117,25.255,NORMAL
1,1,1,1,snapshot,2025-01-01T00:34:00,35.584,1.056,71.022,29.702,NORMAL
1,1,1,1,snapshot,2025-01-01T00:36:00,33.082,1.215,124.276,67.624,NORMAL
1,1,1,1,snapshot,2025-01-01T00:38:00,36.713,0.981,68.14,24.938,NORMAL
1,1,1,1,snapshot,2025-01-01T00:40:00,37.27,1.151,69.399,23.033,NORMAL
1,1,1,1,snapshot,2025-01-01T00:42:00,37.333,1.051,69.3,29.476,NORMAL
1,1,1,1,snapshot,2025-01-01T00:44:00,37.592,0.543,73.255,30.255,NORMAL
1,1,1,1,snapshot,2025-01-01T00:46:00,36.159,0.845,67.926,25.948,NORMAL
1,1,1,1,snapshot,2025-01-01T00:48:00,36.118,1.486,68.666,28.271,NORMAL
1,1,1,1,snapshot,2025-01-01T00:50:00,34.454,1.386,70.761,27.7,NORMAL
1,1,1,1,snapshot,2025-01-01T00:52:00,35.023,1.061,72.466,29.166,NORMAL
1,1,1,1,snapshot,2025-01-01T00:54:00,37.422,1.514,69.931,27.527,NORMAL
1,1,1,1,snapshot,2025-01-01T00:56:00,37.574,1.677,70.8,26.224,NORMAL
1,1,1,1,snapshot,2025-01-01T00:58:00,36.78,1.466,70.233,24.563,NORMAL
1,1,1,1,snapshot,2025-01-01T01:00:00,35.403,1.25,70.158,29.998,NORMAL
1,1,1,1,snapshot,2025-01-01T01:02:00,39.803,1.371,69.525,29.86,NORMAL
1,1,1,1,snapshot,2025-01-01T01:04:00,35.425,0.516,67.97,26.265,NORMAL
1,1,1,1,snapshot,2025-01-01T01:06:00,37.123,1.579,68.183,25.66,NORMAL
1,1,1,1,snapshot,2025-01-01T01:08:00,34.636,1.818,70.429,29.24,NORMAL
1,1,1,1,snapshot,2025-01-01T01:10:00,37.674,1.484,70.029,29.119,NORMAL
1,1,1,1,snapshot,2025-01-01T01:12:00,35.797,1.475,71.131,31.171,NORMAL
1,1,1,1,snapshot,2025-01-01T01:14:00,38.042,1.266,70.663,34.221,NORMAL
1,1,1,1,snapshot,2025-01-01T01:16:00,38.731,1.244,71.082,29.39,NORMAL
1,1,1,1,snapshot,2025-01-01T01:18:00,38.176,1.228,69.081,29.491,NORMAL
1,1,1,1,snapshot,2025-01-01T01:20:00,35.559,0.954,66.256,28.678,NORMAL
1,1,1,1,snapshot,2025-01-01T01:22:00,36.764,0.969,68.474,30.252,NORMAL
1,1,1,1,snapshot,2025-01-01T01:24:00,37.861,1.407,68.571,30.829,NORMAL
1,1,1,1,snapshot,2025-01-01T01:26:00,35.968,1.473,66.842,27.811,NORMAL
1,1,1,1,snapshot,2025-01-01T01:28:00,38.451,0.925,75.474,28.114,NORMAL
1,1,1,1,snapshot,2025-01-01T01:30:00,38.05,1.218,72.002,27.48,NORMAL
1,1,1,1,snapshot,2025-01-01T01:32:00,36.163,1.57,69.276,30.096,NORMAL
1,1,1,1,snapshot,2025-01-01T01:34:00,39.846,1.237,71.688,29.372,NORMAL
1,1,1,1,snapshot,2025-01-01T01:36:00,39.753,1.014,65.657,28.016,NORMAL
1,1,1,1,snapshot,2025-01-01T01:38:00,38.379,1.313,68.689,28.161,NORMAL
1,1,1,1,snapshot,2025-01-01T01:40:00,38.773,1.4,72.158,26.608,NORMAL
1,1,1,1,snapshot,2025-01-01T01:42:00,42.372,1.064,71.325,28.21,NORMAL
1,1,1,1,snapshot,2025-01-01T01:44:00,39.224,1.296,69.282,28.504,NORMAL
1,1,1,1,snapshot,2025-01-01T01:46:00,40.778,1.252,65.596,31.34,NORMAL
1,1,1,1,snapshot,2025-01-01T01:48:00,40.683,2.175,71.08,29.371,NORMAL
1,1,1,1,snapshot,2025-01-01T01:50:00,40.328,1.678,72.237,31.233,NORMAL
1,1,1,1,snapshot,2025-01-01T01:52:00,40.372,1.511,72.115,28.106,NORMAL
1,1,1,1,snapshot,2025-01-01T01:54:00,41.929,1.23,68.815,31.254,NORMAL
